iter,reg,ninst,tpred,cpred,tcorr,ccorr,ncinst
2,0,48,{0},{0},15,15,"{0: 15, 1: 6, 2: 6, 3: 13, 4: 8}"
2,1,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
2,2,3,{2},{2},2,2,"{0: 0, 1: 0, 2: 2, 3: 0, 4: 1}"
2,3,8,{2},{2},3,3,"{0: 2, 1: 0, 2: 3, 3: 2, 4: 1}"
2,4,6,"{2,4}","{0,1,2,3,4}",2,2,"{0: 0, 1: 1, 2: 2, 3: 1, 4: 2}"
2,5,0,"{0,1,2,3,4}",{4},0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
2,6,16,{4},{1},8,5,"{0: 0, 1: 5, 2: 3, 3: 0, 4: 8}"
2,7,5,{1},"{0,1,2,3,4}",3,3,"{0: 0, 1: 3, 2: 2, 3: 0, 4: 0}"
2,8,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
2,9,0,"{0,1,2,3,4}",{1},0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
2,10,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
2,11,14,{1},"{0,1,2,3,4}",5,5,"{0: 3, 1: 5, 2: 2, 3: 4, 4: 0}"
3,0,48,{0},{0},15,15,"{0: 15, 1: 6, 2: 6, 3: 13, 4: 8}"
3,1,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
3,2,3,{2},{2},2,2,"{0: 0, 1: 0, 2: 2, 3: 0, 4: 1}"
3,3,8,{2},{2},3,3,"{0: 2, 1: 0, 2: 3, 3: 2, 4: 1}"
3,4,6,"{2,4}","{0,1,2,3,4}",2,2,"{0: 0, 1: 1, 2: 2, 3: 1, 4: 2}"
3,5,0,"{0,1,2,3,4}",{4},0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
3,6,16,{4},{1},8,5,"{0: 0, 1: 5, 2: 3, 3: 0, 4: 8}"
3,7,5,{1},"{0,1,2,3,4}",3,3,"{0: 0, 1: 3, 2: 2, 3: 0, 4: 0}"
3,8,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
3,9,0,"{0,1,2,3,4}",{1},0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
3,10,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
3,11,14,{1},"{0,1,2,3,4}",5,5,"{0: 3, 1: 5, 2: 2, 3: 4, 4: 0}"
4,0,48,{0},{0},15,15,"{0: 15, 1: 6, 2: 6, 3: 13, 4: 8}"
4,1,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
4,2,3,{2},{2},2,2,"{0: 0, 1: 0, 2: 2, 3: 0, 4: 1}"
4,3,8,{2},{2},3,3,"{0: 2, 1: 0, 2: 3, 3: 2, 4: 1}"
4,4,6,"{2,4}","{0,1,2,3,4}",2,2,"{0: 0, 1: 1, 2: 2, 3: 1, 4: 2}"
4,5,0,"{0,1,2,3,4}",{4},0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
4,6,16,{4},{1},8,5,"{0: 0, 1: 5, 2: 3, 3: 0, 4: 8}"
4,7,5,{1},"{0,1,2,3,4}",3,3,"{0: 0, 1: 3, 2: 2, 3: 0, 4: 0}"
4,8,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
4,9,0,"{0,1,2,3,4}",{1},0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
4,10,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
4,11,14,{1},"{0,1,2,3,4}",5,5,"{0: 3, 1: 5, 2: 2, 3: 4, 4: 0}"
5,0,48,{0},{0},15,15,"{0: 15, 1: 6, 2: 6, 3: 13, 4: 8}"
5,1,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
5,2,3,{2},{2},2,2,"{0: 0, 1: 0, 2: 2, 3: 0, 4: 1}"
5,3,8,{2},{2},3,3,"{0: 2, 1: 0, 2: 3, 3: 2, 4: 1}"
5,4,6,"{2,4}","{0,1,2,3,4}",2,2,"{0: 0, 1: 1, 2: 2, 3: 1, 4: 2}"
5,5,0,"{0,1,2,3,4}",{4},0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
5,6,16,{4},{1},8,5,"{0: 0, 1: 5, 2: 3, 3: 0, 4: 8}"
5,7,5,{1},"{0,1,2,3,4}",3,3,"{0: 0, 1: 3, 2: 2, 3: 0, 4: 0}"
5,8,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
5,9,0,"{0,1,2,3,4}",{1},0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
5,10,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
5,11,14,{1},"{0,1,2,3,4}",5,5,"{0: 3, 1: 5, 2: 2, 3: 4, 4: 0}"
6,0,48,{0},{0},15,15,"{0: 15, 1: 6, 2: 6, 3: 13, 4: 8}"
6,1,3,{2},{2},2,2,"{0: 0, 1: 0, 2: 2, 3: 0, 4: 1}"
6,2,3,{2},{2},2,2,"{0: 0, 1: 0, 2: 2, 3: 0, 4: 1}"
6,3,5,"{0,3}","{2,3}",2,2,"{0: 2, 1: 0, 2: 1, 3: 2, 4: 0}"
6,4,6,"{2,4}",{2},2,2,"{0: 0, 1: 1, 2: 2, 3: 1, 4: 2}"
6,5,1,{2},{4},1,0,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 0}"
6,6,16,{4},{1},8,5,"{0: 0, 1: 5, 2: 3, 3: 0, 4: 8}"
6,7,4,{1},"{0,1,2,3,4}",3,3,"{0: 0, 1: 3, 2: 1, 3: 0, 4: 0}"
6,8,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
6,9,0,"{0,1,2,3,4}",{1},0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
6,10,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
6,11,14,{1},"{0,1,2,3,4}",5,5,"{0: 3, 1: 5, 2: 2, 3: 4, 4: 0}"
7,0,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
7,1,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
7,2,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
7,3,0,"{0,1,2,3,4}",{3},0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
7,4,42,{3},"{0,1,2,3,4}",13,13,"{0: 9, 1: 3, 2: 8, 3: 13, 4: 9}"
7,5,0,"{0,1,2,3,4}",{0},0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
7,6,28,{0},{2},11,3,"{0: 11, 1: 8, 2: 3, 3: 6, 4: 0}"
7,7,3,{2},"{0,1,2,3,4}",2,2,"{0: 0, 1: 0, 2: 2, 3: 0, 4: 1}"
7,8,6,{2},{1},3,1,"{0: 0, 1: 1, 2: 3, 3: 1, 4: 1}"
7,9,0,"{0,1,2,3,4}",{4},0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
7,10,5,{1},"{0,1,2,3,4}",3,3,"{0: 0, 1: 3, 2: 1, 3: 0, 4: 1}"
7,11,16,{4},"{0,1,2,3,4}",8,8,"{0: 0, 1: 5, 2: 3, 3: 0, 4: 8}"
8,0,3,{2},{2},2,2,"{0: 0, 1: 0, 2: 2, 3: 0, 4: 1}"
8,1,35,{3},{3},11,11,"{0: 8, 1: 3, 2: 5, 3: 11, 4: 8}"
8,2,18,{0},{0},9,9,"{0: 9, 1: 3, 2: 2, 3: 4, 4: 0}"
8,3,3,{2},{2},2,2,"{0: 0, 1: 0, 2: 2, 3: 0, 4: 1}"
8,4,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
8,5,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
8,6,0,"{0,1,2,3,4}",{2},0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
8,7,0,"{0,1,2,3,4}",{2},0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
8,8,1,{2},{1},1,0,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 0}"
8,9,7,{2},{4},3,1,"{0: 0, 1: 2, 2: 3, 3: 1, 4: 1}"
8,10,17,{1},"{0,1,2,3,4}",7,7,"{0: 3, 1: 7, 2: 2, 3: 4, 4: 1}"
8,11,16,{4},"{0,1,2,3,4}",8,8,"{0: 0, 1: 5, 2: 3, 3: 0, 4: 8}"
9,0,3,{2},{2},2,2,"{0: 0, 1: 0, 2: 2, 3: 0, 4: 1}"
9,1,35,{3},{3},11,11,"{0: 8, 1: 3, 2: 5, 3: 11, 4: 8}"
9,2,18,{0},{0},9,9,"{0: 9, 1: 3, 2: 2, 3: 4, 4: 0}"
9,3,3,{2},{2},2,2,"{0: 0, 1: 0, 2: 2, 3: 0, 4: 1}"
9,4,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
9,5,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
9,6,0,"{0,1,2,3,4}",{2},0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
9,7,0,"{0,1,2,3,4}",{2},0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
9,8,1,{2},{1},1,0,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 0}"
9,9,4,{2},{4},2,1,"{0: 0, 1: 0, 2: 2, 3: 1, 4: 1}"
9,10,20,{1},"{0,1,2,3,4}",9,9,"{0: 3, 1: 9, 2: 3, 3: 4, 4: 1}"
9,11,16,{4},"{0,1,2,3,4}",8,8,"{0: 0, 1: 5, 2: 3, 3: 0, 4: 8}"
10,0,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
10,1,2,{2},{2},2,2,"{0: 0, 1: 0, 2: 2, 3: 0, 4: 0}"
10,2,1,{4},{4},1,1,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 1}"
10,3,1,{2},{2},1,1,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 0}"
10,4,11,{0},{0},5,5,"{0: 5, 1: 3, 2: 1, 3: 1, 4: 1}"
10,5,17,{3},{3},7,7,"{0: 5, 1: 1, 2: 1, 3: 7, 4: 3}"
10,6,20,{3},{3},6,6,"{0: 4, 1: 2, 2: 4, 3: 6, 4: 4}"
10,7,4,"{2,4}","{2,4}",2,2,"{0: 0, 1: 0, 2: 2, 3: 0, 4: 2}"
10,8,2,"{1,3}","{1,3}",1,1,"{0: 0, 1: 1, 2: 0, 3: 1, 4: 0}"
10,9,2,"{0,3}","{0,3}",1,1,"{0: 1, 1: 0, 2: 0, 3: 1, 4: 0}"
10,10,4,{2},{2},3,3,"{0: 0, 1: 1, 2: 3, 3: 0, 4: 0}"
10,11,16,{4},{4},9,9,"{0: 0, 1: 4, 2: 3, 3: 0, 4: 9}"
10,12,15,{1},{1},5,5,"{0: 4, 1: 5, 2: 2, 3: 4, 4: 0}"
10,13,1,{0},{0},1,1,"{0: 1, 1: 0, 2: 0, 3: 0, 4: 0}"
10,14,3,{1},{1},2,2,"{0: 0, 1: 2, 2: 1, 3: 0, 4: 0}"
10,15,1,{1},{1},1,1,"{0: 0, 1: 1, 2: 0, 3: 0, 4: 0}"
11,0,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
11,1,2,{2},{2},2,2,"{0: 0, 1: 0, 2: 2, 3: 0, 4: 0}"
11,2,1,{4},{4},1,1,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 1}"
11,3,1,{2},{2},1,1,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 0}"
11,4,11,{0},{0},5,5,"{0: 5, 1: 3, 2: 1, 3: 1, 4: 1}"
11,5,17,{3},{3},7,7,"{0: 5, 1: 1, 2: 1, 3: 7, 4: 3}"
11,6,18,{3},{3},6,6,"{0: 4, 1: 2, 2: 3, 3: 6, 4: 3}"
11,7,6,"{2,4}","{2,4}",3,3,"{0: 0, 1: 0, 2: 3, 3: 0, 4: 3}"
11,8,2,"{1,3}","{1,3}",1,1,"{0: 0, 1: 1, 2: 0, 3: 1, 4: 0}"
11,9,2,"{0,3}","{0,3}",1,1,"{0: 1, 1: 0, 2: 0, 3: 1, 4: 0}"
11,10,4,{2},{2},3,3,"{0: 0, 1: 1, 2: 3, 3: 0, 4: 0}"
11,11,16,{4},{4},9,9,"{0: 0, 1: 4, 2: 3, 3: 0, 4: 9}"
11,12,15,{1},{1},5,5,"{0: 4, 1: 5, 2: 2, 3: 4, 4: 0}"
11,13,1,{0},{0},1,1,"{0: 1, 1: 0, 2: 0, 3: 0, 4: 0}"
11,14,3,{1},{1},2,2,"{0: 0, 1: 2, 2: 1, 3: 0, 4: 0}"
11,15,1,{1},{1},1,1,"{0: 0, 1: 1, 2: 0, 3: 0, 4: 0}"
12,0,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
12,1,2,{2},{2},2,2,"{0: 0, 1: 0, 2: 2, 3: 0, 4: 0}"
12,2,1,{4},{4},1,1,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 1}"
12,3,1,{2},{2},1,1,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 0}"
12,4,7,{0},{0},3,3,"{0: 3, 1: 1, 2: 1, 3: 1, 4: 1}"
12,5,14,{3},{3},6,6,"{0: 3, 1: 1, 2: 1, 3: 6, 4: 3}"
12,6,13,{3},{3},5,5,"{0: 2, 1: 1, 2: 2, 3: 5, 4: 3}"
12,7,5,{2},{2},3,3,"{0: 0, 1: 0, 2: 3, 3: 0, 4: 2}"
12,8,6,{1},{1},3,3,"{0: 2, 1: 3, 2: 0, 3: 1, 4: 0}"
12,9,5,{0},{0},3,3,"{0: 3, 1: 0, 2: 0, 3: 2, 4: 0}"
12,10,9,{2},{2},4,4,"{0: 2, 1: 2, 2: 4, 3: 1, 4: 0}"
12,11,17,{4},{4},10,10,"{0: 0, 1: 4, 2: 3, 3: 0, 4: 10}"
12,12,15,{1},{1},5,5,"{0: 4, 1: 5, 2: 2, 3: 4, 4: 0}"
12,13,1,{0},{0},1,1,"{0: 1, 1: 0, 2: 0, 3: 0, 4: 0}"
12,14,3,{1},{1},2,2,"{0: 0, 1: 2, 2: 1, 3: 0, 4: 0}"
12,15,1,{1},{1},1,1,"{0: 0, 1: 1, 2: 0, 3: 0, 4: 0}"
13,0,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
13,1,2,{2},{2},2,2,"{0: 0, 1: 0, 2: 2, 3: 0, 4: 0}"
13,2,1,{4},{4},1,1,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 1}"
13,3,1,{2},{2},1,1,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 0}"
13,4,7,{0},{0},3,3,"{0: 3, 1: 1, 2: 1, 3: 1, 4: 1}"
13,5,23,{3},{3},9,9,"{0: 5, 1: 1, 2: 3, 3: 9, 4: 5}"
13,6,4,{3},{3},2,2,"{0: 0, 1: 1, 2: 0, 3: 2, 4: 1}"
13,7,5,{2},{2},3,3,"{0: 0, 1: 0, 2: 3, 3: 0, 4: 2}"
13,8,6,{1},{1},3,3,"{0: 2, 1: 3, 2: 0, 3: 1, 4: 0}"
13,9,9,{0},{0},5,5,"{0: 5, 1: 1, 2: 0, 3: 3, 4: 0}"
13,10,7,{2},{2},4,4,"{0: 1, 1: 2, 2: 4, 3: 0, 4: 0}"
13,11,17,{4},{4},10,10,"{0: 0, 1: 4, 2: 3, 3: 0, 4: 10}"
13,12,15,{1},{1},5,5,"{0: 4, 1: 5, 2: 2, 3: 4, 4: 0}"
13,13,1,{1},{1},1,1,"{0: 0, 1: 1, 2: 0, 3: 0, 4: 0}"
13,14,1,{2},{2},1,1,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 0}"
13,15,1,{1},{1},1,1,"{0: 0, 1: 1, 2: 0, 3: 0, 4: 0}"
14,0,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
14,1,2,{2},{2},2,2,"{0: 0, 1: 0, 2: 2, 3: 0, 4: 0}"
14,2,1,{4},{4},1,1,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 1}"
14,3,1,{2},{2},1,1,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 0}"
14,4,7,{0},{0},3,3,"{0: 3, 1: 1, 2: 1, 3: 1, 4: 1}"
14,5,23,{3},{3},9,9,"{0: 5, 1: 1, 2: 3, 3: 9, 4: 5}"
14,6,4,{3},{3},2,2,"{0: 0, 1: 1, 2: 0, 3: 2, 4: 1}"
14,7,5,{2},{2},3,3,"{0: 0, 1: 0, 2: 3, 3: 0, 4: 2}"
14,8,6,{1},{1},3,3,"{0: 2, 1: 3, 2: 0, 3: 1, 4: 0}"
14,9,9,{0},{0},5,5,"{0: 5, 1: 1, 2: 0, 3: 3, 4: 0}"
14,10,7,{2},{2},4,4,"{0: 1, 1: 2, 2: 4, 3: 0, 4: 0}"
14,11,17,{4},{4},10,10,"{0: 0, 1: 4, 2: 3, 3: 0, 4: 10}"
14,12,15,{1},{1},5,5,"{0: 4, 1: 5, 2: 2, 3: 4, 4: 0}"
14,13,1,{1},{1},1,1,"{0: 0, 1: 1, 2: 0, 3: 0, 4: 0}"
14,14,1,{2},{2},1,1,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 0}"
14,15,1,{1},{1},1,1,"{0: 0, 1: 1, 2: 0, 3: 0, 4: 0}"
15,0,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
15,1,2,{2},{2},2,2,"{0: 0, 1: 0, 2: 2, 3: 0, 4: 0}"
15,2,1,{4},{4},1,1,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 1}"
15,3,1,{2},{2},1,1,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 0}"
15,4,7,{0},{0},3,3,"{0: 3, 1: 1, 2: 1, 3: 1, 4: 1}"
15,5,23,{3},{3},9,9,"{0: 5, 1: 1, 2: 3, 3: 9, 4: 5}"
15,6,4,{3},{3},2,2,"{0: 0, 1: 1, 2: 0, 3: 2, 4: 1}"
15,7,5,{2},{2},3,3,"{0: 0, 1: 0, 2: 3, 3: 0, 4: 2}"
15,8,6,{1},{1},3,3,"{0: 2, 1: 3, 2: 0, 3: 1, 4: 0}"
15,9,9,{0},{0},5,5,"{0: 5, 1: 1, 2: 0, 3: 3, 4: 0}"
15,10,7,{2},{2},4,4,"{0: 1, 1: 2, 2: 4, 3: 0, 4: 0}"
15,11,17,{4},{4},10,10,"{0: 0, 1: 4, 2: 3, 3: 0, 4: 10}"
15,12,15,{1},{1},5,5,"{0: 4, 1: 5, 2: 2, 3: 4, 4: 0}"
15,13,1,{1},{1},1,1,"{0: 0, 1: 1, 2: 0, 3: 0, 4: 0}"
15,14,1,{2},{2},1,1,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 0}"
15,15,1,{1},{1},1,1,"{0: 0, 1: 1, 2: 0, 3: 0, 4: 0}"
